dataset,question,ground_truth,generated_response,correct,justification
positive,What business categories must be selected to accept FSA and HSA payments when signing up for credit card processing?,"You must select the Med Spa, Medical Services and Health Practitioners, or Chiropractors, Chiropractic Offices business/industry category.","You must select the Med Spa, Medical Services and Health Practitioners, or Chiropractors, Chiropractic Offices business/industry category when signing up for credit card processing to accept FSA and HSA payments. Source: https://support.vagaro.com/hc/en-us/articles/24312682236315-Accept-FSA-and-HSA-Payments",True,"The AI's response accurately conveys the necessary business categories for accepting FSA and HSA payments, matching the ground truth."
positive,What criteria does Vagaro use to automatically delete customer profiles?,"Vagaro uses the following criteria to automatically delete customer profiles: customers without an email, customers without a phone number, customers without a card on file, and customers who haven't visited within a selected period. Vagaro only removes a profile that matches every selected criterion.","Vagaro uses the following criteria to automatically delete customer profiles only if they match all selected options: customers without an email, without a phone number, without a card on file, and who haven't visited within a selected period. Source: https://support.vagaro.com/hc/en-us/articles/204348140-Merge-and-Clean-Up-Customers",True,The AI's response accurately reflects the criteria Vagaro uses for automatically deleting customer profiles and emphasizes that all selected criteria must be met.
positive,What options do I have to filter a customer's class attendance history on the Vagaro Pro app?,"You can filter a customer's class attendance history by selecting the Filters button and then choosing options for Status, Class, All Teachers, and Start Date/End Date.","On the Vagaro Pro app, you can filter a customer's class attendance history by selecting the Filters button and choosing options such as Status (e.g., Cancelled), Class, Teacher, Start Date/End Date, and Business location. Source: https://support.vagaro.com/hc/en-us/articles/360021459773-View-a-Customer-s-Class-Attendance-History",True,The AI's response accurately describes the filtering options available in the Vagaro Pro app and includes additional relevant details.
positive,What happens to my custom designs if I reset my MySite?,Vagaro will not refund any custom designs if you decide to reset your MySite.,"If you reset your MySite, any custom designs you have created will be removed, and the site will revert to default pages, text, and images. Vagaro will not refund any custom designs after a reset. Source: https://support.vagaro.com/hc/en-us/articles/26664576284187-MySite-Reset-Your-MySite-and-Start-From-Scratch",True,The AI's response accurately conveys that custom designs will be removed upon resetting MySite and that Vagaro will not provide refunds for those designs.
positive,What are the four types of components available for building a website in MySite?,"The four types of components are: Text Components (headers and text blocks), Layout Components (to organize and separate content), Element Components (simple components like images, videos, and buttons), and Vagaro Components (sync from your Vagaro business).","The four types of components available for building a website in MySite are: Text Components, Layout Components, Element Components, and Vagaro Components. Source: https://support.vagaro.com/hc/en-us/articles/20043904453915-MySite-Place-and-Manage-Components",True,"The AI's response accurately lists the four types of components, covering the central idea of the customer's question."
positive,How do I add additional stock to a partial-use product on a phone?,"To add additional stock on a phone, select More → Settings → Management, then choose your partial-use product from the inventory. In the top-right corner, select Action → Add. Scan your products or select Add (Containers) Manually. After adding all products, select Next. If the Barcode Already Exists popup appears, select Add Quantity, enter the date received, Business Cost, and Total Quantity, then select Add to add the new stock.","To add additional stock to a partial-use product on a phone, go to More → Settings → Management. Select the product, then in the top-right corner, choose Action → Add. Scan your products or add manually, then enter the date received, business cost, and total quantity. Finally, select Add to update the stock. Source: https://support.vagaro.com/hc/en-us/articles/41206452277787-Create-Partial-Use-Products-for-Backbar-Use",True,"The AI's response accurately covers the steps needed to add additional stock to a partial-use product on a phone, aligning closely with the ground truth answer."
positive,How do I create a blog post on mysite?,"select mysite, go to settings, select blogging, select create new post, in the new post textbox enter teh title of your blog post... additional details on editing... once done select publish post on the top right corner.","To create a blog post on your MySite, start a new post, then use the embedded AI by selecting the AI button in the rich text box to help write your content. You can customize details like title, author, URL, tags, and categories through Manage Post Settings. Once your content is ready, you can publish immediately or schedule it for later. Source: https://support.vagaro.com/hc/en-us/articles/31549408978331-MySite-Create-a-Blog-Post",False,"The AI's response introduces the use of an embedded AI tool and scheduling options, which are not mentioned in the ground truth, potentially misleading the customer about the process."
positive,What details can be edited when modifying a class or workshop in Vagaro?,"When modifying a class or workshop in Vagaro, you can edit the class name, class description, category, resources, add-ons suggested, applicable taxes, business cost, cleanup time, whether the class is shown online, workshop cost, number of sessions, sell price, live stream price, duration, points given, points to redeem, and optionally add a photo.","When modifying a class or workshop in Vagaro, you can edit the class name, description, category, resource requirements, add-ons, taxes, business cost, cleanup time, online visibility, workshop details, number of sessions, sell and live stream prices, price breaks, and photos. You can also select the employee(s) to perform the class, set the price for each provider, duration, and points earned. However, scheduled classes cannot be changed into workshops or vice versa. Source: https://support.vagaro.com/hc/en-us/articles/360009036933-Edit-a-Class-or-Workshop",False,"The AI's response includes incorrect details about editing options and introduces new concepts like selecting employees and price for each provider, which are not mentioned in the ground truth."
positive,What should you do if an attendee doesn't have a profile at your business while registering them for a class?,You can create a profile for them by selecting the + in the top-right corner.,"If an attendee doesn't have a profile at your business, you can create one for them by selecting the ""+"" icon in the top-right corner during registration. Source: https://support.vagaro.com/hc/en-us/articles/29078318111387-Register-and-Manage-Class-Attendees",True,The AI's response accurately conveys the main point of the ground truth answer and provides the necessary action to take.
positive,How can I undo a check-in at the kiosk if I accidentally checked in for the wrong appointment?,"To undo a check-in at the kiosk, select Check in to sign into your Vagaro account. In your list of appointments, select the More menu beside the appointment or class that was checked in, then select Undo Check-In. If you have multiple check-ins to undo, toggle on their switches to select them, then select Undo Check In. Finally, select Close or Check-In and select Done on the confirmation screen.","To undo a check-in at the kiosk, select Check in on the home screen, then find the appointment or class. Click the More menu beside it and select Undo Check-In. If you have multiple check-ins, toggle on their switches and select Undo Check-In. Source: https://support.vagaro.com/hc/en-us/articles/115003955413-Self-Check-In-at-a-Business-for-Customers-of-a-Vagaro-Business",True,"The AI's response accurately describes the process to undo a check-in at the kiosk and includes the necessary steps, aligning with the ground truth."
