question,chunk_id,answer,question_type
How do I add selectable options to the Choose One element in my form?,24398221326107_article,I don't have enough information to answer that confidently.,negative
How can I add a new image to a class using a computer or tablet?,360036760494_article,I don't have enough information to answer that confidently.,negative
On which views can I use the Pinch to Zoom gesture in the Vagaro Pro app?,27922157455131_article,I don't have enough information to answer that confidently.,negative
How can I get my client to complete a questionnaire without them needing to come into the salon?,360009612593_article,I don't have enough information to answer that confidently.,negative
How can I deactivate a package for all customers in Vagaro?,30509662952347_section_deactivate-and-reactivate-a-package-for-all-member,I don't have enough information to answer that confidently.,negative
How do I create a new partial-use product in Vagaro using a GS1 QR code on a mobile device?,41206452277787_section_window_create-a-partial-use-product_0,I don't have enough information to answer that confidently.,negative
How can I delete customer profiles using the Vagaro Pro app?,115004772554_section_delete-customer-profiles,I don't have enough information to answer that confidently.,negative
Why should I avoid changing the description of a Vagaro Class?,18977244070811_section_window_1,I don't have enough information to answer that confidently.,negative
Who is authorized to change an employee's security question and password in Vagaro?,360019478254_article,I don't have enough information to answer that confidently.,negative
What details are shown for each employee in the Employee Payroll tab on a phone?,115003990314_section_window_employee-payroll-tab_0,I don't have enough information to answer that confidently.,negative
How can I add cleanup time to a service bundle on a computer?,30065634686363_section,I don't have enough information to answer that confidently.,negative
How can I preview my Vagaro MySite before publishing it live?,20043887869851_article,I don't have enough information to answer that confidently.,negative
What type of information must be encrypted using Vagaro's PGP public key before sending it to Vagaro during data import?,13676714787739_section,I don't have enough information to answer that confidently.,negative
How can I filter the Customer List Report to show customers who have booked a specific service or class?,115004772554_section_window_run-the-customer-list-report_0,I don't have enough information to answer that confidently.,negative
How can I find out if I still have a spot reserved on a salon's waiting list?,360012490814_section,I don't have enough information to answer that confidently.,negative
How do I finalize and submit my payroll in Gusto after syncing it from Vagaro?,360040724594_section_close-out-your-payroll-with-gusto,I don't have enough information to answer that confidently.,negative
How can I block off days when an employee doesn't work using Vagaro on a computer?,360010304773_section_block-off-the-days-you-don-t-work,I don't have enough information to answer that confidently.,negative
How can I make my blog post more appealing and easier to find for visitors?,31549408978331_section,I don't have enough information to answer that confidently.,negative
How can I add or update my profile photo on the Vagaro app?,360003925633_article,I don't have enough information to answer that confidently.,negative
What do I need to do if I want to check in at a place that uses Vagaro without talking to anyone?,115003955413_section,I don't have enough information to answer that confidently.,negative
What are the eligibility requirements for a small business to qualify for Vagaro Capital in Canada?,21897083104539_section,I don't have enough information to answer that confidently.,negative
How can I move a component to a different location on my MySite page?,20043904453915_article,I don't have enough information to answer that confidently.,negative
How can a customer specify a tip amount when paying with a credit card using Vagaro on a computer?,360009746633_section_collect-a-tip-for-a-credit-card-transaction,I don't have enough information to answer that confidently.,negative
How can I save a client's completed paperwork from their profile to share with my team or send to the client?,24398266944283_article,I don't have enough information to answer that confidently.,negative
How can I view my Vagaro listing page on a mobile device?,360000604014_section_view-your-vagaro-listing-page,I don't have enough information to answer that confidently.,negative
How can I log into my Vagaro account using the Vagaro app on a mobile device?,1260806204090_article,I don't have enough information to answer that confidently.,negative
How can I remove an attendee from a class session using the Vagaro Pro App?,29078318111387_section_remove-cancelled-attendees-from-a-class,I don't have enough information to answer that confidently.,negative
How do I set up a weekly pay schedule for my employees in Vagaro?,204347910_section,I don't have enough information to answer that confidently.,negative
How do I get my website to show up properly after setting up my domain?,35429779370395_article,I don't have enough information to answer that confidently.,negative
How can I refund a specific transaction from a customer's appointment history using the Vagaro Pro App?,18699473497115_section_refund-on-the-refund-screen,I don't have enough information to answer that confidently.,negative
What should I do if I want to make sure my client details stay updated without any issues?,18977260420123_article,I don't have enough information to answer that confidently.,negative
What is the purpose of verifying my identity with ID.me when joining E-Prescribe as a doctor?,41118765054107_section_window_join-e-prescribe-as-a-doctor_0,I don't have enough information to answer that confidently.,negative
How do I prevent customers from making appointments with a specific staff member online?,360009853913_article,I don't have enough information to answer that confidently.,negative
What are the required image dimensions for uploading a digital gift card design in Vagaro?,204348070_article,I don't have enough information to answer that confidently.,negative
What information does the Purchased Products report include about each transaction?,360007505233_article,I don't have enough information to answer that confidently.,negative
How do I add an employee profile on my mobile device in Vagaro?,18977275440795_section_window_0,I don't have enough information to answer that confidently.,negative
How can I set the timing for when the birthday email campaign is sent relative to the customer's birthday?,4416425572123_section_window_1,I don't have enough information to answer that confidently.,negative
How can I reduce the amount I pay my team after accounting for the costs associated with the services and products they sell?,204347950_section,I don't have enough information to answer that confidently.,negative
How can I keep track of who recommended new clients to my business using Vagaro?,360007585333_article,I don't have enough information to answer that confidently.,negative
How can I copy a service provider's prices and settings to other employees in Vagaro?,204347580_article,I don't have enough information to answer that confidently.,negative
How can I reprint a customer's receipt from the Transaction List on a computer or tablet?,360004487034_article,I don't have enough information to answer that confidently.,negative
How can I use Vagaro's AI to help create a blog post about the benefits of beard oil?,31549408978331_section_write-content-with-ai,I don't have enough information to answer that confidently.,negative
How can I add a bio to an employee's profile on my Vagaro account using a computer or tablet?,360000595633_article,I don't have enough information to answer that confidently.,negative
How can I restrict an employee from adding themselves to the waitlist in Vagaro?,34407133907867_article,I don't have enough information to answer that confidently.,negative
How do I set the Star TSP100III USB printer as the default printer on a Windows computer?,204347350_article,I don't have enough information to answer that confidently.,negative
